username,followers,avg_likes,avg_comments,days_since_last_post,bio,recent_captions,profile_url
bar_tender_kai,42000,3100,180,5,"台北調酒師｜週末在酒吧搞事｜威士忌控","昨晚調了一杯超派的煙燻威士忌sour 有夠讚 來喝啦",https://instagram.com/bar_tender_kai
foodie_mia,88000,4200,260,12,"吃喝玩樂系｜美食探店｜夜生活愛好者","這家新開的居酒屋根本梗圖現場 笑死",https://instagram.com/foodie_mia
zen_yoga_mom,15000,900,40,3,"瑜珈老師｜親子育兒｜身心靈課程","早晨冥想帶孩子一起做瑜珈 分享課程資訊",https://instagram.com/zen_yoga_mom
party_king_leo,120000,8900,700,2,"派對咖｜DJ｜到處喝到處鬧｜有酒的地方就有我","上週末的派對太瘋 琴酒喝到天亮 下週續攤",https://instagram.com/party_king_leo
tiny_acct,3200,210,15,8,"小小創作者剛起步","今天天氣不錯",https://instagram.com/tiny_acct
inactive_guy,55000,4000,300,120,"曾經的潮流部落客","半年沒更新了",https://instagram.com/inactive_guy
lowkey_reader,30000,120,8,4,"閱讀分享｜安靜生活","這個月讀了三本書 推薦給大家",https://instagram.com/lowkey_reader
cocktail_nina,67000,5100,420,6,"cocktail lover｜bartender｜夜生活玩家｜超愛開玩笑","來看我用琴酒調的派對特調 保證有梗",https://instagram.com/cocktail_nina
mega_star,2000000,90000,5000,1,"百萬網紅｜什麼都接","業配私訊",https://instagram.com/mega_star
travel_jay,49000,3600,210,20,"旅遊美食｜潮流生活｜愛喝一杯","旅途中發現的隱藏酒吧 威士忌選擇超多",https://instagram.com/travel_jay
